Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",0,4.21,Tinder Press,Hardcover,372,2020,2020,,2024/10/29,to-read,to-read (#35),to-read,,,,0,0
58727132,Eversion,Alastair Reynolds,"Reynolds, Alastair",,"=""0316462829""","=""9780316462822""",0,3.97,Orbit,Paperback,304,2022,2022,,2024/10/24,to-read,to-read (#34),to-read,,,,0,0
214615790,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""""","=""""",4,3.99,Vintage,Kindle Edition,307,2024,1987,2024/10/11,2023/03/24,,,read,,,,1,0
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",0,4.40,Spiegel & Grau,Hardcover,152,2015,2015,,2024/09/04,to-read,to-read (#33),to-read,,,,0,0
1471204,Developing Talent in Young People,Benjamin S. Bloom,"Bloom, Benjamin S.",,"=""034531509X""","=""9780345315090""",0,4.17,Random House Publishing Group,Paperback,576,1985,1985,,2024/08/25,to-read,to-read (#32),to-read,,,,0,0
19481838,La Place,Annie Ernaux,"Ernaux, Annie",,"=""2072452759""","=""9782072452758""",2,3.87,Folio,Kindle Edition,112,2013,1983,2024/08/12,2024/08/12,,,read,,,,1,0
45448374,Vers la beauté,David Foenkinos,"Foenkinos, David",,"=""2072824435""","=""9782072824432""",5,4.18,Folio,Kindle Edition,242,2019,2018,2024/08/05,2024/08/05,,,read,,,,1,0
37739,Blubber,Judy Blume,"Blume, Judy",,"=""""","=""""",0,3.79,Macmillan Children's Books,Paperback,127,2006,1974,,2024/07/29,to-read,to-read (#31),to-read,,,,0,0
63079845,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,"Goggins, David",,"=""154453406X""","=""9781544534060""",5,4.39,Lioncrest Publishing,Kindle Edition,312,2022,2022,2024/07/27,2023/09/16,,,read,,,,1,0
75676985,Numéro deux,David Foenkinos,"Foenkinos, David",,"=""2073001971""","=""9782073001979""",5,3.86,Editions Gallimard,Kindle Edition,257,2023,2022,2024/07/06,2024/07/06,,,read,,,,1,0
22963334,Je vais mieux,David Foenkinos,"Foenkinos, David",,"=""2072527368""","=""9782072527364""",5,3.56,Editions Gallimard,Kindle Edition,364,2018,2013,2024/06/23,2024/06/08,,,read,,,,1,0
18925276,The Days of the French Revolution,Christopher Hibbert,"Hibbert, Christopher",,"=""""","=""""",2,3.78,William Morrow Paperbacks,Kindle Edition,412,2012,1980,2024/06/08,2024/05/26,,,read,,,,1,0
135982568,Veiller sur elle,Jean-Baptiste Andrea,"Andrea, Jean-Baptiste",,"=""2378803753""","=""9782378803759""",0,4.31,Iconoclaste,Paperback,592,2023,2023,2024/05/22,2024/05/22,,,read,,,,1,0
11506091,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""""",4,4.00,Doubleday,ebook,401,2011,2011,2024/04/14,2024/04/14,,,read,,,,1,0
41077259,Deep Medicine: How Artificial Intelligence Can Make Healthcare Human Again,Eric J. Topol,"Topol, Eric J.",,"=""""","=""""",4,4.01,Basic Books,Kindle Edition,341,2019,2019,2024/03/28,2023/08/02,,,read,,,,1,0
205209685,Un animal sauvage,Joël Dicker,"Dicker, Joël",,"=""2889730484""","=""9782889730483""",4,4.04,Rosie & Wolfe,Kindle Edition,396,2024,2024,2024/03/23,2024/03/23,,,read,,,,1,0
26216031,"Split Second (Split Second, #1)",Douglas E. Richards,"Richards, Douglas E.",,"=""""","=""""",0,3.97,Paragon Press,Kindle Edition,365,2015,2015,,2024/02/27,to-read,to-read (#30),to-read,,,,0,0
50535129,"The Enigma Cube (Alien Artifact, #1)",Douglas E. Richards,"Richards, Douglas E.",,"=""""","=""""",3,4.13,Paragon Press,Kindle Edition,424,2020,2020,2024/02/27,2024/02/27,,,read,,,,1,0
25843420,"The Atlantis Gene (The Origin Mystery, #1)",A.G. Riddle,"Riddle, A.G.",,"=""""","=""""",0,3.79,Riddle Inc.,Paperback,464,2015,2013,,2024/02/12,to-read,to-read (#29),to-read,,,,0,0
35631386,The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,"Lewis, Michael",,"=""0393354776""","=""9780393354775""",0,3.99,W. W. Norton & Company,Paperback,368,2017,2016,,2024/02/11,to-read,to-read (#28),to-read,,,,0,0
64415236,Quantum Radio,A.G. Riddle,"Riddle, A.G.",,"=""""","=""""",0,4.09,Head of Zeus,Kindle Edition,566,2023,2023,,2024/02/10,to-read,to-read (#27),to-read,,,,0,0
